"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\.roo\rules\code-standards.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\create-digital-worksheet\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 9, 123
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\digital-worksheet\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 133, 0, 0, 10, 22, 165
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 96
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 4, 12, 91
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\question-settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 12, 94
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\worksheet-complete\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\app\worksheet-generator\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 2, 9, 67
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\FormulaDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\QuestionStateProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 13, 18, 123
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\abacus-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 431, 0, 0, 24, 41, 496
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\control-buttons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 2, 5, 32
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\question-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 8, 13, 99
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\question-settings-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 524, 0, 0, 63, 57, 644
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\render-settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 2, 97
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\settings-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 6, 8, 75
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\sidebar-state-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 252, 0, 0, 2, 18, 272
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 12, 120
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 0, 16, 141
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 707, 0, 0, 12, 55, 774
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 55
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\value-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\components\worksheet-generator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 528, 0, 0, 96, 105, 729
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\formulas.md", "Markdown", 0, 0, 0, 243, 0, 0, 0, 0, 0, 33, 276
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\hooks\use-mobile.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 5, 7, 30
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\hooks\useQuestionSettingsForm.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 9, 98
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\abacus.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 2, 13, 118
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\formulas.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\multiplication-rules.ts", "TypeScript", 0, 133, 0, 0, 0, 0, 0, 0, 62, 39, 234
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-add-sub.test.ts", "TypeScript", 0, 126, 0, 0, 0, 0, 0, 0, 20, 26, 172
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-add-sub.ts", "TypeScript", 0, 433, 0, 0, 0, 0, 0, 0, 27, 49, 509
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-divide.ts", "TypeScript", 0, 202, 0, 0, 0, 0, 0, 0, 19, 34, 255
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator-multiply.ts", "TypeScript", 0, 199, 0, 0, 0, 0, 0, 0, 57, 34, 290
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-generator.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 1, 25
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\question-types.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 5, 7, 43
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\settings-serializer.ts", "TypeScript", 0, 227, 0, 0, 0, 0, 0, 0, 28, 32, 287
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\settings-utils.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 0, 25, 21, 170
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\lib\utils.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 3, 6, 42
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\package-lock.json", "JSON", 10315, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10316
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\projectBrief.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 42, 91
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\tailwind.config.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 2, 103
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Michael\Desktop\abacus\abacus-learning-tool\vitest.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 10384, 1882, 27, 362, 34, 3893, 91, 5, 500, 880, 18058